Year,"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle)
2024,19.66,19.14,45.27,16.7,24.69,29.16
2023,18.74,17.11,39.54,16.82,20.77,30.25
2022,16.13,16.66,31.75,14.96,26.14,35.14
2021,14.4,13.74,30.67,16.03,22.13,28.68
2020,14.89,13.88,32.54,13.87,23.67,31.01
2019,16.0,14.0,32.94,18.23,27.69,35.56
2018,13.05,13.32,35.7,15.94,21.48,29.42
2017,13.22,12.23,24.68,14.61,18.86,30.81
2016,13.29,12.62,25.35,13.5,19.35,31.18
2015,11.87,10.96,21.22,13.52,18.47,23.56
2014,11.97,10.6,22.58,13.78,16.3,18.33
2013,11.58,9.24,22.92,13.4,14.08,15.1
2012,9.49,8.47,17.6,12.17,10.89,12.56
2011,8.36,7.92,19.51,10.95,10.6,14.46
2010,8.3,8.38,13.75,13.25,10.5,15.0
