Year,Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),Cappuccino (regular)
2024,48.9,50.0,18.91,13.85,36.33
2023,42.58,46.46,16.19,12.41,36.05
2022,40.51,46.19,15.26,11.62,31.48
2021,35.06,42.73,13.77,11.06,28.66
2020,34.16,38.64,13.33,10.86,27.91
2019,36.24,41.74,14.34,11.32,28.00
2018,33.02,40.0,13.42,10.73,25.63
2017,29.23,36.95,12.32,10.59,24.38
2016,25.96,32.0,11.59,9.5,22.48
2015,25.18,31.03,10.8,9.52,19.67
2014,20.65,25.81,9.55,7.62,19.00
2013,17.55,18.4,8.83,8.2,18.46
2012,18.54,21.23,8.64,7.6,17.88
2011,18.83,20.92,6.89,6.51,16.67
2010,14.75,18.75,8.5,10.67,-
