Year,1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes
2024,952.52,557.4,1932.76,1440.38
2023,822.46,541.04,1548.28,1367.35
2022,824.94,562.93,1545.66,1299.52
2021,712.03,533.33,1327.75,1327.16
2020,755.44,506.53,1333.99,1293.25
2019,788.3,502.96,1382.25,1253.38
2018,777.25,471.78,1230.54,1212.9
2017,705.03,488.64,1154.65,1038.24
2016,732.38,517.06,1097.73,1215.59
2015,678.51,502.14,970.73,879.24
2014,655.31,394.22,930.69,799.92
2013,675.0,375.19,749.82,790.82
2012,612.5,400.0,706.25,644.44
2011,630.0,348.25,950.0,837.25
2010,400.0,215.0,775.0,660.0
