Year,Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg)
2024,27.66,27.27,20.70,19.63,30.71,27.63,27.64,22.12
2023,26.43,23.56,22.00,18.48,28.66,26.08,28.76,24.90
2022,25.17,22.55,18.48,17.34,26.18,25.40,24.39,18.28
2021,22.86,23.72,16.59,15.72,20.88,22.25,22.18,17.27
2020,24.64,23.57,20.21,15.45,22.65,22.54,23.92,18.86
2019,25.90,28.71,23.12,18.11,25.40,20.89,23.82,22.67
2018,22.59,20.31,15.50,14.47,23.83,18.53,18.16,14.08
2017,19.24,19.61,16.58,13.47,19.50,18.63,18.10,13.74
2016,21.05,18.87,19.44,15.00,17.71,20.24,16.52,17.00
2015,16.40,14.03,11.38,11.15,19.46,15.72,13.75,11.56
2014,17.20,17.69,9.61,9.69,19.05,14.89,-,-
2013,14.27,11.67,10.17,8.32,17.71,14.37,-,-
2012,14.83,11.83,10.29,8.00,13.67,13.62,-,-
2011,12.74,5.00,8.48,12.00,-,-,-,-
2010,-,-,-,-,-,-,-,-
