Year,Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg)
2023,26.43,23.56,22.00,18.48,28.66,26.08,28.76,24.90
2022,25.17,22.55,18.48,17.34,26.18,25.40,24.39,18.28
2021,22.86,23.72,16.59,15.72,20.88,22.25,22.18,17.27
2020,24.64,23.57,20.21,15.45,22.65,22.54,23.92,18.86
2019,25.90,28.71,23.12,18.11,25.40,20.89,23.82,22.67
2018,21.60,19.50,14.77,13.93,23.00,17.86,17.78,13.58
2017,18.95,19.00,15.00,13.39,19.00,18.00,17.50,13.39
2016,20.82,18.43,18.73,14.67,17.15,19.20,16.31,16.40
2015,16.23,13.23,11.16,10.72,18.57,15.25,13.51,11.03
2014,16.89,17.36,9.61,9.69,18.45,14.89,-,-
2013,13.90,11.67,9.94,8.32,16.66,13.71,-,-
2012,14.20,11.83,9.95,8.00,12.50,13.17,-,-
2011,12.74,5.00,8.48,12.00,-,-,-,-
2010,-,-,-,-,-,-,-,-
