Year,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Mobile Phone Monthly Plan with Calls and 10GB+ Data
2024,1761.93,746.38,543.46
2023,1640.96,761.31,626.39
2022,1338.47,801.05,-
2021,1589.26,825.29,-
2020,1209.74,904.76,-
2019,1103.24,993.12,-
2018,1008.52,953.01,-
2017,843.43,853.39,-
2016,997.17,861.03,-
2015,1102.68,857.69,-
2014,1052.38,766.58,-
2013,839.91,730.77,-
2012,963.58,733.67,-
2011,850.0,442.5,-
2010,453.33,526.67,-
