Year,"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle)
2024,120.07,73.18,216.0,101.56,296.54,354.69
2023,117.76,69.58,224.47,80.95,241.91,342.41
2022,117.21,64.08,171.16,94.09,245.67,300.0
2021,99.83,53.92,172.97,81.82,216.47,290.77
2020,101.17,51.64,151.04,86.69,192.98,245.0
2019,117.5,65.5,188.59,134.58,239.79,336.67
2018,104.23,60.83,173.9,127.8,181.67,230.0
2017,105.67,55.49,151.83,76.43,196.67,241.67
2016,99.26,53.84,169.09,79.75,171.0,227.78
2015,87.54,65.94,152.18,97.5,201.25,238.57
2014,102.64,71.04,177.56,111.67,138.33,202.5
2013,90.29,47.67,156.41,103.75,180.0,217.5
2012,85.26,49.83,167.68,99.5,124.33,186.89
