Year,Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat)
2024,1391.79,1781.11,376.92,873.05,708.15
2023,1578.0,1450.0,355.56,755.36,606.67
2022,1471.67,1650.0,324.25,785.88,577.39
2021,1066.79,1164.71,280.42,633.26,504.09
2020,1222.22,1116.67,328.75,653.85,483.53
2019,1140.45,1179.37,275.0,666.62,498.89
2018,690.0,1125.0,575.0,715.56,548.75
2017,1216.37,1100.0,250.0,808.33,522.50
2016,980.0,870.0,206.67,622.22,526.15
2015,600.0,925.0,177.14,687.22,580.00
2014,910.0,1007.14,143.33,744.29,-
2013,1033.33,683.33,233.33,480.0,-
2012,1210.6,1070.92,180.56,483.1,-
