Year,Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg)
2024,406.43,282.55,155.58,97.82,228.39,145.17,147.24,163.27
2023,303.47,213.31,119.71,72.00,221.04,103.44,128.00,117.63
2022,291.83,229.00,112.25,80.22,188.68,114.58,98.67,126.08
2021,246.14,206.17,96.43,73.92,175.79,118.4,111.45,106.62
2020,266.5,175.00,102.0,65.00,155.23,101.46,93.22,97.62
2019,261.55,200.00,162.86,93.17,190.13,146.67,131.43,107.50
2018,293.0,217.50,157.5,-,220.0,136.67,119.00,132.00
2017,278.43,208.33,87.5,50.00,162.73,91.67,122.00,95.00
2016,294.89,231.00,110.0,68.33,125.71,105.0,189.88,115.00
2015,308.33,206.67,103.33,80.83,163.11,118.33,206.67,91.67
2014,242.86,250.00,105.0,67.25,171.25,140.0,-,-
2013,299.67,-,100.0,51.67,148.0,151.25,-,-
2012,284.48,211.95,100.16,64.75,159.2,138.67,-,-
