Year,"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat)
2023,18.74,17.11,39.54,16.82,21.19,30.25,26.43,23.56,22.00,18.48,28.66,26.08,28.76,24.90,139.19,85.0,50.0,88.33,120.92
2022,16.13,16.66,31.75,14.96,26.14,35.14,25.17,22.55,18.48,17.34,26.18,25.40,24.39,18.28,119.94,80.0,50.0,77.21,111.93
2021,14.4,13.74,30.67,16.03,22.13,28.68,22.86,23.72,16.59,15.72,20.88,22.25,22.18,17.27,111.33,80.0,50.0,75.77,113.12
2020,14.89,13.88,32.54,13.87,23.67,31.01,24.64,23.57,20.21,15.45,22.65,22.54,23.92,18.86,112.55,80.0,45.0,79.2,108.22
2019,16.0,14.0,32.94,18.23,27.69,35.56,25.90,28.71,23.12,18.11,25.40,20.89,23.82,22.67,107.75,80.0,40.0,89.44,114.80
2018,12.87,13.14,34.62,14.73,20.95,28.45,21.60,19.50,14.77,13.93,23.00,17.86,17.78,13.58,104.87,65.0,40.0,71.71,102.01
2017,12.82,11.97,23.9,14.1,18.33,28.79,18.95,19.00,15.00,13.39,19.00,18.00,17.50,13.39,98.2,60.0,40.0,65.34,92.15
2016,13.12,12.44,24.33,13.34,18.72,30.31,20.82,18.43,18.73,14.67,17.15,19.20,16.31,16.40,90.04,60.0,37.5,68.04,78.41
2015,11.74,10.87,20.4,13.4,17.53,22.8,16.23,13.23,11.16,10.72,18.57,15.25,13.51,11.03,85.87,50.0,35.0,59.09,95.53
2014,11.69,10.35,21.91,13.78,16.3,18.33,16.89,17.36,9.61,9.69,18.45,14.89,,,87.0,50.0,34.5,56.5,
2013,11.29,9.09,22.27,13.11,13.58,14.56,13.90,11.67,9.94,8.32,16.66,13.71,,,74.75,50.0,32.0,57.0,
2012,9.32,8.33,17.6,11.6,10.0,11.88,14.20,11.83,9.95,8.00,12.50,13.17,,,64.32,50.0,30.0,54.17,
2011,8.17,7.68,19.51,10.95,10.6,14.46,12.74,5.00,8.48,12.00,,,,,78.79,50.0,30.0,45.86,
2010,8.3,8.38,13.75,11.0,9.0,13.33,,,,,,,,,60.0,40.0,26.0,38.33,
