1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes
822.46,541.04,1548.28,1367.35
824.94,562.93,1545.66,1299.52
712.03,533.33,1327.75,1327.16
755.44,506.53,1333.99,1293.25
788.3,502.96,1382.25,1253.38
758.63,456.52,1206.04,1164.58
693.21,467.5,1114.1,993.55
721.54,501.47,1071.4,1186.17
667.0,488.85,943.18,843.52
643.25,394.22,924.92,766.58
644.44,357.36,734.8,749.9
600.0,400.0,664.29,644.44
630.0,272.38,800.0,837.25
400.0,215.0,775.0,660.0
