Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre
50416.67,26617.65,141153.85,72500.0
49428.57,22538.46,116136.36,54340.91
50000.0,22904.76,116176.47,54285.71
49411.76,19736.84,104411.76,48842.11
44182.81,19482.76,95909.09,47120.0
44550.0,20428.57,93684.21,46500.0
32333.33,17375.0,88333.33,45166.67
34913.33,18235.29,102138.33,45569.38
49583.33,23054.99,137629.65,62272.73
37444.44,20000.0,97659.99,63511.1
50833.33,27493.33,108571.43,66875.0
50129.2,48346.2,75187.6,66326.61
