Year,"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle)
2023,18.74,17.11,39.54,16.82,21.19,30.25
2022,16.13,16.66,31.75,14.96,26.14,35.14
2021,14.4,13.74,30.67,16.03,22.13,28.68
2020,14.89,13.88,32.54,13.87,23.67,31.01
2019,16.0,14.0,32.94,18.23,27.69,35.56
2018,12.87,13.14,34.62,14.73,20.95,28.45
2017,12.82,11.97,23.9,14.1,18.33,28.79
2016,13.12,12.44,24.33,13.34,18.72,30.31
2015,11.74,10.87,20.4,13.4,17.53,22.8
2014,11.69,10.35,21.91,13.78,16.3,18.33
2013,11.29,9.09,22.27,13.11,13.58,14.56
2012,9.32,8.33,17.6,11.6,10.0,11.88
2011,8.17,7.68,19.51,10.95,10.6,14.46
2010,8.3,8.38,13.75,11.0,9.0,13.33
