Year,Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),Cappuccino (regular)
2023,42.0,45.0,16.19,12.41,36.05
2022,40.0,45.0,15.38,11.74,31.57
2021,35.0,42.5,13.77,11.06,28.66
2020,35.0,40.0,13.33,10.86,27.91
2019,35.0,40.0,14.34,11.32,28.00
2018,30.0,40.0,12.98,10.34,25.24
2017,30.0,35.0,12.0,10.19,23.94
2016,25.0,30.0,11.3,9.06,22.27
2015,25.0,30.0,10.46,9.31,19.40
2014,20.0,24.5,8.94,7.05,18.54
2013,18.0,17.5,8.57,8.03,18.16
2012,17.5,18.5,8.42,7.24,17.07
2011,19.0,20.0,6.89,6.51,16.67
2010,15.0,15.0,8.5,10.0,-
