Year,Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),Cappuccino (regular)
2023,299.58,400.0,70.42,58.0,321.1
2022,250.0,350.0,69.91,60.26,282.4
2021,250.0,350.0,52.94,42.81,247.33
2020,250.0,300.0,53.33,56.58,305.0
2019,300.0,400.0,69.02,69.81,282.44
2018,201.56,275.0,47.76,44.25,230.16
2017,200.0,250.0,57.69,49.0,237.27
2016,200.0,300.0,55.75,47.27,250.71
2015,200.0,300.0,71.33,55.39,228.0
2014,200.0,280.0,63.36,50.76,234.23
2013,200.0,235.0,57.27,51.36,198.91
2012,150.0,200.0,52.15,52.02,162.42
