Year,Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat)
2023,1578.00,1500.0,350.00,755.36,606.67
2022,1471.67,1650.0,350.00,785.88,577.39
2021,1028.70,1000.0,300.00,619.44,492.38
2020,1222.22,1000.0,300.00,653.85,483.53
2019,1140.45,1000.0,300.00,666.62,498.89
2018,-,1000.0,-,715.56,548.75
2017,1216.37,1050.0,250.00,730.00,482.86
2016,985.59,800.0,200.00,601.05,530.91
2015,-,950.0,175.00,648.12,496.00
2014,910.00,825.0,180.00,701.67,-
2013,1033.33,700.0,250.00,-,-
2012,1210.60,1000.0,170.00,480.28,-
