Year,Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg)
2023,303.47,213.31,119.71,72.00,221.04,103.44,128.00,117.63
2022,291.83,229.00,112.25,80.22,188.68,114.58,98.67,126.08
2021,246.14,195.11,91.54,71.02,169.6,110.27,108.48,101.88
2020,266.50,175.00,102.00,65.00,155.23,101.46,93.22,97.62
2019,261.55,200.00,162.86,93.17,190.13,146.67,131.43,107.50
2018,293.00,-,-,-,208.57,136.67,119.00,132.00
2017,274.83,190.00,87.50,-,159.0,91.67,122.00,94.00
2016,281.75,227.86,103.92,62.00,123.85,92.67,158.79,106.89
2015,308.33,206.67,100.00,80.83,163.11,118.33,188.00,86.00
2014,233.33,250.00,98.57,60.00,167.14,131.43,-,-
2013,-,-,-,51.67,148.0,135.0,-,-
2012,284.48,211.95,87.00,64.75,159.2,125.0,-,-
